,KBest:f_classif,Percentile:f_classif,KBest:chi2 square,Percentile:chi2 square,KBest:mutual_info_classif,Percentile:mutual_info_classif,KBest:f_regression,Percentile:f_regression,KBest:mutual_info_regression,Percentile:mutual_info_regression
CIB_STATUS,16589.875558953856,0.25926254507191615,552.9047458878098,0.26005926662302015,0.2623877206431191,0.26271246871365705,16589.875558954664,0.2643555227986747,0.2713860519940887,0.2618687977170011
OUTSTANDING_AMOUNT,55.19319766200184,0.0068436606731903105,218.15590551321617,0.01557263889574223,0.0072371735759797495,0.015759931294706542,55.193197662001836,0.012371615689386495,0.009614899266496835,0.01364597079117269
EXISTING_LOAN,50.773438469248724,0.0,171.46911080920813,0.001744962652758364,0.002817291550600398,0.0030920282250037623,50.77343846924828,0.0040905261427586215,0.0,0.008751655850794293
REQ_LIMIT,39.49873352983821,0.005402453765157356,5.203417880299629,0.008103234390161695,0.003990185628914622,0.008251697049135087,39.498733529858164,0.0035136173101832924,0.018818732784255943,0.004230655720465437
EXT_LOAN_EMI,33.49326641411438,0.0023287912635474584,2.550850245971278,0.0028598744944834387,0.004811957970653813,0.0,33.49326641411428,0.0,0.0,0.0
RECEIVABLE,32.74913073330754,0.004103674161572091,78.34081066561012,0.0,0.0003982712768009211,0.0,32.74913073330647,0.002099469386303676,0.003523022297796885,0.005608168702227134
ELIGIBILITY_PART2,29.791343926511985,0.010734840014322566,15.419511222122063,0.01659124260959488,0.012809592241739054,0.01201070682512384,29.79134392651669,0.013558003556019882,0.0,0.013259704011687523
STOCK,23.56548599759836,0.012015823878275933,158.45327406617602,0.011083391788938801,0.009800485939053694,0.010771916998408404,23.565485997598095,0.008577478234799596,0.016877336632363793,0.009832888757001834
YEARLY_SALES,23.417723082616618,3.41301235911029e-05,693.9407780987232,0.0,0.0,0.001783091189583974,23.417723082616753,0.0010178447634945353,0.004227553448110655,0.0010425387966321864
BUS_ASSETS,23.05718954165368,0.0008404360239042674,766.8845680847168,0.00575249972440961,0.0029045785899985965,0.00738697729970017,23.057189541653813,0.0014796660844675902,0.015057092416220996,0.005229526150386743
LOAN_TENOR,22.45180231811778,0.0,74.34401806315802,0.002395231922029062,0.00019230418269788885,0.00010969335760213639,22.451802318121953,0.004392204201127958,0.022967228982244237,0.0
MONTHLY_INCOME,21.528200388473714,0.015487737950903302,5.876716694136312,0.003940594694313182,0.018038013076327797,0.01363013419964032,21.528200388473547,0.015104181100711989,0.009970742860471837,0.012182843286872913
CASH_IN_HAND,16.925675062864144,0.0030906648664736913,44.6641939218399,0.0017354879367585951,0.007291912975035064,0.00901885543894898,16.92567506286437,0.0,0.0015811458568828485,0.0024114137408128844
PROPOSED_EMI,15.452594860513699,0.0,0.08227629572812836,0.0,0.002025584809022707,0.008055033526503719,15.45259486053323,0.0041500795281357306,0.0,0.011984730849304848
GUARANTOR_AGE,13.838526898929235,0.005758069389707021,13.946624942344432,0.014273263319319662,0.0018857819070068338,0.005774053955605263,13.838526898942899,0.008293838701234568,0.0,0.009517208428814872
